attendanceId,employeeId,attendanceDate,workingHours,attendanceStatus
1001,101,"2026-03-02",8,PRESENT
1002,102,"2026-03-02",9,WORK_FROM_HOME
1003,103,"2026-03-02",7,PRESENT
1004,104,"2026-03-03",8,PRESENT
1005,105,"2026-03-03",6,HALF_DAY
1006,106,"2026-03-03",9,WORK_FROM_HOME
1007,107,"2026-03-04",8,PRESENT
1008,108,"2026-03-04",7,PRESENT
1009,109,"2026-03-04",0,ABSENT
1010,110,"2026-03-05",8,PRESENT
1011,111,"2026-03-05",9,WORK_FROM_HOME
1012,112,"2026-03-05",7,PRESENT
1013,113,"2026-03-06",8,PRESENT
1014,114,"2026-03-06",6,HALF_DAY
1015,115,"2026-03-06",8,PRESENT
1016,116,"2026-03-07",9,WORK_FROM_HOME
1017,117,"2026-03-07",8,PRESENT
1018,118,"2026-03-07",7,PRESENT
1019,119,"2026-03-08",8,PRESENT
1020,120,"2026-03-08",0,ABSENT
1021,121,"2026-03-08",9,WORK_FROM_HOME
1022,122,"2026-03-09",8,PRESENT
1023,123,"2026-03-09",7,PRESENT
1024,124,"2026-03-09",6,HALF_DAY
1025,125,"2026-03-10",8,PRESENT
1026,126,"2026-03-10",9,WORK_FROM_HOME
1027,127,"2026-03-10",7,PRESENT
1028,128,"2026-03-11",8,PRESENT
1029,129,"2026-03-11",6,HALF_DAY
1030,130,"2026-03-11",8,PRESENT
1031,131,"2026-03-12",9,WORK_FROM_HOME
1032,132,"2026-03-12",8,PRESENT
1033,133,"2026-03-12",7,PRESENT
1034,134,"2026-03-13",0,ABSENT
1035,135,"2026-03-13",8,PRESENT
1036,136,"2026-03-13",9,WORK_FROM_HOME
1037,137,"2026-03-14",7,PRESENT
1038,138,"2026-03-14",8,PRESENT
1039,139,"2026-03-14",6,HALF_DAY
1040,140,"2026-03-15",8,PRESENT
1041,101,"2026-03-15",9,WORK_FROM_HOME
1042,102,"2026-03-15",8,PRESENT
1043,103,"2026-03-16",7,PRESENT
1044,104,"2026-03-16",8,PRESENT
1045,105,"2026-03-16",6,HALF_DAY
1046,106,"2026-03-17",9,WORK_FROM_HOME
1047,107,"2026-03-17",8,PRESENT
1048,108,"2026-03-17",7,PRESENT
1049,109,"2026-03-18",8,PRESENT
