payrollId,employeeId,salaryAmount,bonusAmount,payrollDate
5001,101,65000,5000,2025-12-31
5002,102,48000,3000,2025-12-31
5003,103,72000,7000,2025-12-31
5004,104,95000,12000,2025-12-31
5005,105,40000,2000,2025-12-31
5006,106,68000,6000,2025-12-31
5007,107,105000,15000,2025-12-31
5008,108,52000,3500,2025-12-31
5009,109,85000,8000,2025-12-31
5010,110,45000,1000,2025-12-31

5011,111,98000,14000,2026-01-31
5012,112,55000,4000,2026-01-31
5013,113,115000,18000,2026-01-31
5014,114,62000,4500,2026-01-31
5015,115,70000,6500,2026-01-31
5016,116,76000,7000,2026-01-31
5017,117,108000,16000,2026-01-31
5018,118,51000,3000,2026-01-31
5019,119,92000,9000,2026-01-31
5020,120,47000,2500,2026-01-31

5021,121,64000,5000,2026-02-28
5022,122,58000,3500,2026-02-28
5023,123,125000,22000,2026-02-28
5024,124,60000,4500,2026-02-28
5025,125,74000,7000,2026-02-28
5026,126,81000,8500,2026-02-28
5027,127,112000,17000,2026-02-28
5028,128,53000,3200,2026-02-28
5029,129,97000,11000,2026-02-28
5030,130,49000,2000,2026-02-28

5031,131,135000,24000,2026-03-31
5032,132,66000,6000,2026-03-31
5033,133,88000,9500,2026-03-31
5034,134,57000,3000,2026-03-31
5035,135,79000,7500,2026-03-31
5036,136,83000,9000,2026-03-31
5037,137,118000,20000,2026-03-31
5038,138,91000,10000,2026-03-31
5039,139,46000,1500,2026-03-31
5040,140,69000,5500,2026-03-31

5041,101,67000,5200,2026-04-30
5042,102,49000,2800,2026-04-30
5043,103,73000,7200,2026-04-30
5044,104,98000,13000,2026-04-30
5045,105,42000,1800,2026-04-30
5046,138,94000,9500,2026-04-30
5047,139,48000,1200,2026-04-30

-- Negative salary validation records
5048,106,-35000,3000,2026-05-31
5049,107,-50000,5000,2026-05-31
5050,108,-42000,2500,2026-05-31

-- Duplicate payrollId validation records
5045,109,88000,8000,2026-05-31
5046,110,51000,2000,2026-05-31

5081,181,68000,5000,2026-08-31
5082,182,52000,3000,2026-08-31
5083,183,74000,6500,2026-08-31
5084,184,58000,2500,2026-08-31
5085,185,98000,12000,2026-08-31
5086,186,105000,15000,2026-08-31
5087,187,49000,2200,2026-08-31
5088,188,62000,4500,2026-08-31
5089,189,57000,3000,2026-08-31
5090,190,88000,9000,2026-08-31
5091,191,71000,5200,2026-08-31
5092,192,53000,2800,2026-08-31
5093,193,65000,4700,2026-08-31
5094,194,81000,8500,2026-08-31
5095,195,93000,11000,2026-08-31
5096,196,112000,18000,2026-08-31
5097,197,56000,3200,2026-08-31
5098,198,69000,5400,2026-08-31
5099,199,51000,2500,2026-08-31
5100,200,125000,22000,2026-08-31

5101,201,72000,6000,2026-09-30
5102,202,54000,3200,2026-09-30
5103,203,66000,4800,2026-09-30
5104,204,79000,8200,2026-09-30
5105,205,91000,10000,2026-09-30
5106,206,107000,16000,2026-09-30
5107,207,57000,2600,2026-09-30
5108,208,64000,4200,2026-09-30
5109,209,59000,3100,2026-09-30
5110,210,86000,9200,2026-09-30
5111,211,73000,6100,2026-09-30
5112,212,55000,3400,2026-09-30
5113,213,68000,5000,2026-09-30
5114,214,82000,8700,2026-09-30
5115,215,94000,11500,2026-09-30
5116,216,109000,17000,2026-09-30
5117,217,58000,2800,2026-09-30
5118,218,66000,4500,2026-09-30
5119,219,52000,2600,2026-09-30
5120,220,127000,23000,2026-09-30

5121,221,74000,6200,2026-10-31
5122,222,56000,3500,2026-10-31
5123,223,69000,5200,2026-10-31
5124,224,83000,8800,2026-10-31
5125,225,95000,12000,2026-10-31
5126,226,111000,17500,2026-10-31
5127,227,59000,2900,2026-10-31
5128,228,67000,4600,2026-10-31
5129,229,53000,2700,2026-10-31
5130,230,129000,24000,2026-10-31
5131,231,75000,6300,2026-10-31
5132,232,57000,3600,2026-10-31
5133,233,70000,5300,2026-10-31
5134,234,84000,8900,2026-10-31
5135,235,96000,12500,2026-10-31
5136,236,113000,18000,2026-10-31
5137,237,60000,3000,2026-10-31
5138,238,68000,4700,2026-10-31
5139,239,54000,2800,2026-10-31
5140,240,131000,24500,2026-10-31

5141,241,76000,6400,2026-11-30
5142,242,58000,3700,2026-11-30
5143,243,71000,5400,2026-11-30
5144,244,85000,9000,2026-11-30
5145,245,97000,13000,2026-11-30
5146,246,115000,18500,2026-11-30
5147,247,61000,3200,2026-11-30
5148,248,69000,4800,2026-11-30
5149,249,55000,2900,2026-11-30
5150,250,133000,25000,2026-11-30

5151,251,77000,6500,2026-12-31
5152,252,59000,3800,2026-12-31
5153,253,72000,5500,2026-12-31
5154,254,86000,9200,2026-12-31
5155,255,98000,13500,2026-12-31
5156,256,117000,19000,2026-12-31
5157,257,62000,3300,2026-12-31
5158,258,70000,4900,2026-12-31
5159,259,56000,3000,2026-12-31
5160,260,135000,25000,2026-12-31

5161,261,78000,6600,2027-01-31
5162,262,60000,3900,2027-01-31
5163,263,73000,5600,2027-01-31
5164,264,87000,9400,2027-01-31
5165,265,99000,14000,2027-01-31
5166,266,119000,19500,2027-01-31
5167,267,63000,3400,2027-01-31
5168,268,71000,5000,2027-01-31
5169,269,57000,3100,2027-01-31
5170,270,137000,25000,2027-01-31

5171,271,79000,6700,2027-02-28
5172,272,61000,4000,2027-02-28
5173,273,74000,5700,2027-02-28
5174,274,88000,9500,2027-02-28
5175,275,100000,14500,2027-02-28
5176,276,121000,20000,2027-02-28
5177,277,64000,3500,2027-02-28
5178,278,72000,5100,2027-02-28
5179,279,58000,3200,2027-02-28
5180,280,139000,25000,2027-02-28
